_id,CODIGO,CAMINO,ETAPA,COORD_X,COORD_Y,TIPO_SENAL
1,1,Francés,F1 (Francia-Orreaga/Roncesvalles),640771,4775444,Flecha Direccional
2,2,Francés,F1 (Francia-Orreaga/Roncesvalles),637741,4770519,Mojón
3,3,Francés,F1 (Francia-Orreaga/Roncesvalles),637976,4769855,Flecha Direccional
4,4,Francés,F1 (Francia-Orreaga/Roncesvalles),637943,4769205,Mojón
5,5,Francés,F1 (Francia-Orreaga/Roncesvalles),636842,4767642,Mojón
6,6,Francés,F1 (Francia-Orreaga/Roncesvalles),636656,4767089,Flecha Direccional
7,7,Francés,F1 (Francia-Orreaga/Roncesvalles),636206,4766412,Mojón
8,8,Francés,F1 (Francia-Orreaga/Roncesvalles),636197,4766423,Mojón
9,9,Francés,F1 (Francia-Orreaga/Roncesvalles),636127,4765909,Mojón
10,10,Francés,F1 (Francia-Orreaga/Roncesvalles),635860,4765804,Mojón
11,11,Francés,F1 (Francia-Orreaga/Roncesvalles),635955,4765810,Mojón
12,12,Francés,F1 (Francia-Orreaga/Roncesvalles),635850,4769802,Mojón
13,13,Francés,F1 (Francia-Orreaga/Roncesvalles),635804,4765681,Señal Cruce Carretera
14,14,Francés,F1 (Francia-Orreaga/Roncesvalles),635893,4765567,Mojón
15,15,Francés,F1 (Francia-Orreaga/Roncesvalles),635881,4765581,Señal Cruce Carretera
16,16,Francés,F1 (Francia-Orreaga/Roncesvalles),636601,4764752,Mojón
17,17,Francés,F1 (Francia-Orreaga/Roncesvalles),636680,4764616,Mojón
18,18,Francés,F1 (Francia-Orreaga/Roncesvalles),636691,4764593,Mojón
19,19,Francés,F1 (Francia-Orreaga/Roncesvalles),636696,4764566,Mojón
20,20,Francés,F1 (Francia-Orreaga/Roncesvalles),636174,4766267,Mojón
21,21,Francés,F1 (Francia-Orreaga/Roncesvalles),633703,4760975,Mojón
22,22,Francés,F1 (Francia-Orreaga/Roncesvalles),637214,4763973,Mojón
23,23,Francés,F1 (Francia-Orreaga/Roncesvalles),636160,4766109,Mojón
24,24,Lepoeder,F1 (Francia-Orreaga/Roncesvalles),639585,4766628,Flecha Direccional
25,25,Lepoeder,F1 (Francia-Orreaga/Roncesvalles),638981,4765350,Flecha Direccional
26,26,Lepoeder,F1 (Francia-Orreaga/Roncesvalles),638898,4765371,Mojón
27,27,Lepoeder,F1 (Francia-Orreaga/Roncesvalles),638916,4765416,Mojón
28,28,Lepoeder,F1 (Francia-Orreaga/Roncesvalles),637525,4763148,Mojón
29,29,Lepoeder,F1 (Francia-Orreaga/Roncesvalles),637340,4763215,Mojón
30,30,Francés,F2 (Orreaga/Roncesvalles-Zubiri),637073,4763221,Panel Informativo
31,31,Francés,F2 (Orreaga/Roncesvalles-Zubiri),636913,4762696,Mojón
32,32,Francés,F2 (Orreaga/Roncesvalles-Zubiri),636214,4761911,Mojón
33,33,Francés,F2 (Orreaga/Roncesvalles-Zubiri),636246,4761796,Señal Cruce Carretera
34,34,Francés,F2 (Orreaga/Roncesvalles-Zubiri),635634,4761091,Mojón
35,35,Francés,F2 (Orreaga/Roncesvalles-Zubiri),635620,4761092,Mojón
36,36,Francés,F2 (Orreaga/Roncesvalles-Zubiri),635315,4761197,Flecha Direccional
37,37,Francés,F2 (Orreaga/Roncesvalles-Zubiri),634179,4761178,Mojón
38,38,Francés,F2 (Orreaga/Roncesvalles-Zubiri),633744,4761118,Mojón
39,39,Francés,F2 (Orreaga/Roncesvalles-Zubiri),633613,4760815,Mojón
40,40,Francés,F2 (Orreaga/Roncesvalles-Zubiri),633565,4760798,Mojón
41,41,Francés,F2 (Orreaga/Roncesvalles-Zubiri),633172,4760188,Mojón
42,42,Francés,F2 (Orreaga/Roncesvalles-Zubiri),632547,4759828,Flecha Direccional
43,43,Francés,F2 (Orreaga/Roncesvalles-Zubiri),632276,4759646,Mojón
44,44,Francés,F2 (Orreaga/Roncesvalles-Zubiri),632064,4759575,Mojón
45,45,Francés,F2 (Orreaga/Roncesvalles-Zubiri),631716,4760041,Señal Cruce Carretera
46,46,Francés,F2 (Orreaga/Roncesvalles-Zubiri),631639,4760062,Mojón
47,47,Francés,F2 (Orreaga/Roncesvalles-Zubiri),631279,4759895,Mojón
48,48,Francés,F2 (Orreaga/Roncesvalles-Zubiri),630699,4759782,Mojón
49,49,Francés,F2 (Orreaga/Roncesvalles-Zubiri),630681,4759657,Mojón
50,50,Francés,F2 (Orreaga/Roncesvalles-Zubiri),630536,4759505,Mojón
51,51,Francés,F2 (Orreaga/Roncesvalles-Zubiri),630087,4759007,Mojón
52,52,Francés,F2 (Orreaga/Roncesvalles-Zubiri),630015,4759023,Mojón
53,53,Francés,F2 (Orreaga/Roncesvalles-Zubiri),629988,4759056,Mojón
54,54,Francés,F2 (Orreaga/Roncesvalles-Zubiri),629048,4758633,Mojón
55,55,Francés,F2 (Orreaga/Roncesvalles-Zubiri),628698,4758602,Mojón
56,56,Francés,F2 (Orreaga/Roncesvalles-Zubiri),628274,4758418,Señal Cruce Carretera
57,57,Francés,F2 (Orreaga/Roncesvalles-Zubiri),628208,4758420,Mojón
58,58,Francés,F2 (Orreaga/Roncesvalles-Zubiri),627102,4757873,Flecha Direccional
59,59,Francés,F2 (Orreaga/Roncesvalles-Zubiri),627047,4757861,Mojón
60,60,Francés,F2 (Orreaga/Roncesvalles-Zubiri),626631,4757766,Mojón
61,61,Francés,F2 (Orreaga/Roncesvalles-Zubiri),626569,4757767,Mojón
62,62,Francés,F2 (Orreaga/Roncesvalles-Zubiri),626486,4757857,Mojón
63,63,Francés,F2 (Orreaga/Roncesvalles-Zubiri),626315,4757830,Mojón
64,64,Francés,F2 (Orreaga/Roncesvalles-Zubiri),626279,4757611,Mojón
65,65,Francés,F2 (Orreaga/Roncesvalles-Zubiri),626132,4757291,Mojón
66,66,Francés,F2 (Orreaga/Roncesvalles-Zubiri),626132,4757291,Mojón
67,67,Francés,F2 (Orreaga/Roncesvalles-Zubiri),625719,4757056,Mojón
68,68,Francés,F2 (Orreaga/Roncesvalles-Zubiri),625130,4756329,Mojón
69,69,Francés,F2 (Orreaga/Roncesvalles-Zubiri),625086,4756124,Mojón
70,70,Francés,F2 (Orreaga/Roncesvalles-Zubiri),624900,4755723,Señal Cruce Carretera
71,71,Francés,F2 (Orreaga/Roncesvalles-Zubiri),624877,4755645,Mojón
72,72,Francés,F2 (Orreaga/Roncesvalles-Zubiri),624856,4755590,Flecha Direccional
73,73,Francés,F2 (Orreaga/Roncesvalles-Zubiri),624342,4755196,Mojón
74,74,Francés,F2 (Orreaga/Roncesvalles-Zubiri),623882,4755307,Mojón
75,75,Francés,F2 (Orreaga/Roncesvalles-Zubiri),623520,4755435,Mojón
76,76,Francés,F2 (Orreaga/Roncesvalles-Zubiri),622668,4754519,Mojón
77,77,Francés,F2 (Orreaga/Roncesvalles-Zubiri),622126,4753645,Mojón
78,78,Francés,F2 (Orreaga/Roncesvalles-Zubiri),622047,4753621,Señal Cruce Carretera
79,79,Francés,F2 (Orreaga/Roncesvalles-Zubiri),621987,4753588,Mojón
80,80,Francés,F2 (Orreaga/Roncesvalles-Zubiri),621758,4753175,Mojón
81,81,Francés,F2 (Orreaga/Roncesvalles-Zubiri),621716,4753106,Señal Cruce Carretera
82,82,Francés,F2 (Orreaga/Roncesvalles-Zubiri),621410,4752680,Mojón
83,83,Francés,F2 (Orreaga/Roncesvalles-Zubiri),621401,4752651,Mojón
84,84,Francés,F2 (Orreaga/Roncesvalles-Zubiri),621733,4753153,Mojón
85,85,Francés,F2 (Orreaga/Roncesvalles-Zubiri),621361,4752638,Mojón
86,86,Francés,F2 (Orreaga/Roncesvalles-Zubiri),621245,4752514,Mojón
